Donnerstag;19:45;Musig uf de Gass & Startrampe;Mama Jefferson (CH)
Donnerstag;20:00;Sternenbühne;Feine Sahne Fischfilet (GER)
Donnerstag;20:00;Plaza Bühne;Dead Flowers (CH)
Donnerstag;20:15;Campfire Stage;very ape (CH)
Donnerstag;21:15;Musig uf de Gass & Startrampe;Kaufmann (CH)
Donnerstag;21:30;Plaza Bühne;Les Touristes (CH)
Donnerstag;22:00;Campfire Stage;Make Plain (CH)
Donnerstag;22:15;Sternenbühne;Portugal. The Man (US)
Donnerstag;22:45;Musig uf de Gass & Startrampe;RAY DRMA (CH)
Donnerstag;23:00;Plaza Bühne;Šuma Čovjek (CH/B)
Freitag;00:15;Sternenbühne;Drunken Masters (GER)
Freitag;00:15;Musig uf de Gass & Startrampe;Velvet Two Stripes (CH)
Freitag;15:30;Sitterbühne;SOFI TUKKER (US)
Freitag;16:15;Sternenbühne;Crimer (CH)
Freitag;16:15;Plaza Bühne;Long Tall Jefferson (CH)
Freitag;16:15;Campfire Stage;Papaver Cousins (HU)
Freitag;17:15;Sitterbühne;Nothing But Thieves (UK)
Freitag;18:15;Sternenbühne;Lewis Capaldi (UK)
Freitag;18:15;Plaza Bühne;Renato Kaiser (CH)
Freitag;19:15;Sitterbühne;Bonez MC & Raf Camora (GER / AU)
Freitag;20:15;Sternenbühne;Johnossi (SWE)
Freitag;21:15;Sitterbühne;Editors (UK)
Freitag;22:30;Sternenbühne;JUNGLE (UK)
Freitag;22:30;Plaza Bühne;El Flecha Negra (GER)
Freitag;23:00;Campfire Stage;Tobias Carshey
Freitag;23:30;Sitterbühne;Nine Inch Nails (US)
Samstag;00:45;Sternenbühne;THE BLAZE (FR)
Samstag;02:30;Sternenbühne;Kuenta I Tambu  (NL)
Samstag;12:00;Sitterbühne;The Gardener And The Tree (CH)
Samstag;12:45;Sternenbühne;One Sentence. Supervisor feat. Bahur Ghazi (CH)
Samstag;13:45;Sitterbühne;Pedestrians (CH)
Samstag;14:45;Sternenbühne;Drangsal (GER)
Samstag;14:45;Plaza Bühne;Blind Butcher (CH)
Samstag;15:45;Sternenbühne;Shame (UK)
Samstag;16:45;Sternenbühne;UFO361 (GER)
Samstag;16:45;Plaza Bühne;Poetry Slam
Samstag;17:45;Sitterbühne;ALMA (FIN)
Samstag;18:00;Campfire Stage;Leonie Prater (CH)
Samstag;18:45;Sternenbühne;Sigrid (NOR)
Samstag;18:45;Plaza Bühne;Zephyr Combo (CH/B)
Samstag;19:45;Sitterbühne;CHVRCHES (UK)
Samstag;20:45;Sternenbühne;Angus & Julia Stone (AUS)
Samstag;22:00;Sitterbühne;Depeche Mode (UK)
Samstag;22:00;Campfire Stage;The Cavers (CH)
Samstag;23:00;Sternenbühne;Faber (CH)
Samstag;23:00;Plaza Bühne;Mirakolo (CH)
Sonntag;00:45;Sitterbühne;Kungs (FR)
Sonntag;01:00;Sternenbühne;Meute (GER)
Sonntag;02:45;Sternenbühne;AV AV AV (DK)
Sonntag;11:00;Sternenbühne;Saint City Orchestra (CH)
Sonntag;11:00;Campfire Stage;René Greenfield (CH)
Sonntag;11:15;Plaza Bühne;Coniglio Connection (CH)
Sonntag;12:00;Sitterbühne;Hecht (CH)
Sonntag;13:00;Sternenbühne;Gang Of Youths (AUS)
Sonntag;14:00;Sitterbühne;Jess Glynne (UK)
Sonntag;14:00;Campfire Stage;Adam’s Wedding (CH)
Sonntag;15:00;Sternenbühne;Lo&Leduc Update 4.0 Show (CH)
Sonntag;15:00;Plaza Bühne;Steiner & Madlaina (CH)
Sonntag;16:00;Sitterbühne;Beatsteaks (GER)
Sonntag;17:00;Sternenbühne;First Aid Kit (SWE)
Sonntag;18:00;Sitterbühne;The Killers (US)
